Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
 6ES7 654 6YM007AF0,,,,,3,,
 6ES7 656 6EK301KF0,,,,,1,,
 6ES7 656 7XX300XE0,,,,,1,,
 6ES7 656 8CF301GF0,,,,,1,,
 6ES7 658 0HX582YH0,,,,,1,,
 6ES7 658 1EX280YA5,,,,,1,,
 6ES7 658 2AB170YA0,,,,,1,,
 6ES7 658 2CX580YB5,,,,,1,,
 6ES7 658 2EA002YB0,,,,,2,,
 6ES7 658 2GA172YB0,,,,,1,,
 6ES7 658 2XA000XH0,,,,,12,,
 6ES7 658 3XD002YB5,,,,,2,,
 6ES7 658 4XX280YG8,,,,,1,,
 6ES7 658 5AX580YA5,,,,,1,,
 6ES7 658 5AX580YH5,,,,,1,,
 6ES7 810 4CC100YA5,,,,,4,,
 6ES7 810 4CC110YA5,,,,,10,,
 6ES7 810 4CE100YB5,,,,,1,,
 6ES7 810 5CC040YY2,,,,,1,,
 6ES7 810 5CE110YB5,,,,,1,,
 6ES7 822 0AA010YE0,,,,,1,,
 6ES7 822 0AA050YA5,,,,,2,,
 6ES7 822 0AA060YA5,,,,,1,,
 6ES7 822 0AE060YA5,,,,,1,,
 6ES7 822 1AA040YA7,,,,,1,,
 6ES7 822 1AA050YA7,,,,,1,,
 6ES7 822 1AA060YA5,,,,,3,,
 6ES7 822 1AE000YY0,,,,,3,,
 6ES7 822 1AE030YA5,,,,,1,,
 6ES7 822 1AE050YA5,,,,,2,,
 6ES7 823 0BA001BA0,,,,,1,,
 6ES7 823 1FE000YL5,,,,,1,,
 6ES7 823 1FE010YA5,,,,,1,,
 6ES7 833 1CC360YA5,,,,,1,,
 6ES7 870 1AA010YA0,,,,,14,,
 6ES7 870 1AA010YA1,,,,,5,,
 6ES7 900 0AA000XA0,,,,,4,,
 6ES7 922 3BC500AC0,,,,,1,,
 6ES7 922 3BD000BA0,,,,,1,,
 6ES7 952 1AK000AA0,,,,,4,,
 6ES7 952 1AL000AA0,,,,,2,,
 6ES7 952 1AM000AA0,,,,,6,,
 6ES7 952 1AP000AA0,,,,,1,,
 6ES7 952 1AY000AA0,,,,,1,,
 6ES7 952 1KK000AA0,,,,,2,,
 6ES7 952 1KT000AA0,,,,,4,,
 6ES7 953 8LF200AA0,,,,,1,,
 6ES7 953 8LF300AA0,,,,,2,,
 6ES7 953 8LG300AA0,,,,,1,,
 6ES7 953 8LG310AA0,,,,,4,,
 6ES7 953 8LJ300AA0,,,,,7,,
 6ES7 953 8LJ310AA0,,,,,7,,
 6ES7 953 8LL310AA0,,,,,1,,
 6ES7 954 8LC030AA0,,,,,26,,
 6ES7 954 8LE030AA0,,,,,18,,
 6ES7 954 8LF030AA0,,,,,34,,
 6ES7 954 8LP020AA0,,,,,7,,
 6ES7 960 1AA040XA0,,,,,2,,
 6ES7 960 1AA045AA0,,,,,12,,
 6ES7 960 1AA060XA0,,,,,15,,
 6ES7 971 0BA00,,,,,157,,
 6ES7 972 0AA020XA0,,,,,1,,
 6ES7 972 0AB010XA0,,,,,1,,
 6ES7 972 0BA120XA0,,,,,6,,
 6ES7 972 0BA420XA0,,,,,62,,
 6ES7 972 0BA520XA0,,,,,8,,
 6ES7 972 0BB120XA0,,,,,10,,
 6ES7 972 0BB420XA0,,,,,97,,
 6ES7 972 0BB520XA0,,,,,14,,
 6ES76508AK701AA0,,,,,4,,
 6ES76508DK801AA0,,,,,1,,
 6ES76508EK801AA0,,,,,3,,
 6FC5 303 0AF220AA1,,,,,2,,
 6FC5 303 0AF350AA0,,,,,3,,
 6FC5 311 0AA000AA0,,,,,1,,
 6FC5 311 0AA001AA0,,,,,1,,
 6FC5 548 0BA051AF0,,,,,1,,
 6FC5 548 0BA201AA3,,,,,1,,
 6FC5 548 0BA201AF0,,,,,1,,
 6FC5 548 0BA201BF0,,,,,1,,
 6FC5 548 0BA210AA0,,,,,1,,
 6FC5 800 0AS510YB0,,,,,3,,
 6FC53 11 0AA000AA0,,,,,3,,
 6FC53 70 2AT030AA0,,,,,3,,
 6FC9 320 5DC01,,,,,1,,
 6FX20 01 2CB02,,,,,1,,
 6FX20 01 2CC50,,,,,5,,
 6FX20 01 2MB25,,,,,1,,
 6FX20 01 3CC50,,,,,1,,
 6FX20 01 7KF10,,,,,26,,
 6FX20 01 7KP01,,,,,39,,
 6FX20 01 7KS06,,,,,2,,
 6FX20 02 1CC001AC0,,,,,2,,
 6FX20 02 1DC001AD0,,,,,1,,
 6FX20 02 1DC001AF5,,,,,30,,
 6FX20 02 1DC001AJ0,,,,,93,,
 6FX20 02 1DC001BA0,,,,,2,,
 6FX20 02 1DC001BF0,,,,,4,,
 6FX20 03 0LU00,,,,,4,,
 6FX20 06 1BG03,,,,,1,,
 6FX30 02 2DB101AF0,,,,,1,,
 6FX30 02 2DB101BF0,,,,,1,,
 6FX30 02 5BL031AF0,,,,,1,,
 6FX30 02 5BL031BF0,,,,,1,,
 6FX30 02 5BL031CA0,,,,,1,,
 6FX30 02 5CL111BA0,,,,,1,,
 6FX30 02 5CL121BF0,,,,,1,,
 6FX50 02 2AH111BF0,,,,,2,,
 6FX50 02 2CA311CF0,,,,,2,,
 6FX50 02 2CG001BA0,,,,,9,,
 6FX50 02 2CR001BA0,,,,,6,,
 6FX50 02 2CR001EA0,,,,,1,,
 6FX50 02 2DC101BA0,,,,,1,,
 6FX50 02 5CF101AE0,,,,,1,,
 6FX50 02 5CF101AF0,,,,,1,,
 6FX50 02 5CG011AF0,,,,,1,,
 6FX50 02 5CN061AF0,,,,,2,,
 6FX50 02 5CN061BA0,,,,,2,,
 6FX50 02 5CN161CF0,,,,,2,,
 6FX50 02 5DA051AF0,,,,,1,,
 6FX50 02 5DF101AD0,,,,,2,,
 6FX50 02 5DF101AF0,,,,,2,,
 6FX50 02 5DN011BA0,,,,,1,,
 6FX80 02 1AA011AF0,,,,,3,,
 6FX80 02 2CP001BA0,,,,,1,,
 6FX80 02 2DC101CF0,,,,,1,,
 6GK1 161 3AA01,,,,,2,,
 6GK1 162 3AA00,,,,,10,,
 6GK1 503 2CB00,,,,,20,,
 6GK1 503 2CC00,,,,,1,,
 6GK1 503 3CA00,,,,,1,,
 6GK1 503 3CB00,,,,,22,,
 6GK1 551 2AA00,,,,,1,,
 6GK1 562 2AA00,,,,,1,,
 6GK1 571 0BA000AA0,,,,,3,,
 6GK1 704 1CW150AA0,,,,,1,,
 6GK1 706 1CW130AA0,,,,,2,,
 6GK1 706 1NW150AA0,,,,,2,,
 6GK1 716 0HB081AA0,,,,,2,,
 6GK1 716 0HB120AA0,,,,,3,,
 6GK1 716 0HB713AA0,,,,,4,,
 6GK1 900 0AB10,,,,,32,,
 6GK1 900 0HB00,,,,,15,,
 6GK1 900 0NB006AA0,,,,,10,,
 6GK1 901 1BB102AA0,,,,,15,,
 6GK1 901 1BB102AB0,,,,,8,,
 6GK1 901 1BB102AE0,,,,,1,,
 6GK1 901 1BB122AA0,,,,,9,,
 6GK1 901 1BB122AB0,,,,,2,,
 6GK1 901 1BB202AA0,,,,,23,,
 6GK1 905 0EA00,,,,,2,,
 6GK1 905 0EB00,,,,,1,,
 6GK1 905 6AA00,,,,,2,,
 6GK5 005 0BA001AB2,,,,,2,,
 6GK5 008 0BA101AB2,,,,,15,,
 6GK5 101 1BB002AA3,,,,,1,,
 6GK5 108 0BA002AA3,,,,,2,,
 6GK5 112 0BA002AB2,,,,,6,,
 6GK5 116 0BA002AB2,,,,,1,,
 6GK5 204 0BA002BA3,,,,,1,,
 6GK5 204 0BA002BF2,,,,,1,,
 6GK5 205 3BB002AB2,,,,,1,,
 6GK5 206 2BS002AC2,,,,,4,,
 6GK5 208 0BA002AB2,,,,,4,,
 6GK5 208 0BA002AC2,,,,,8,,
 6GK5 208 0BA102AA3,,,,,2,,
 6GK5 212 2BB002AA3,,,,,6,,
 6GK5 216 0BA002AC2,,,,,1,,
 6GK5 224 0BA002AC2,,,,,2,,
 6GK5 320 1BD002AA3,,,,,3,,
 6GK5 615 0AA002AA2,,,,,2,,
 6GK5 826 2AB002AB2,,,,,2,,
 6GK5 992 1AL008AA0,,,,,8,,
 6GK7 277 1AA100AA0,,,,,4,,
 6GK7 343 1CX100XE0,,,,,1,,
 6GK7 443 1EX200XE0,,,,,1,,
 6GK7 443 1EX300XE0,,,,,12,,
 6GK7 443 1UX000XE0,,,,,2,,
 6GK7 443 5DX050XE0,,,,,19,,
 6GK7 542 5FX000XE0,,,,,9,,
 6GK7 542 6UX000XE0,,,,,4,,
 6GT20 02 1HD00,,,,,1,,
 6GT20 90 0BD00,,,,,4,,
 6GT26 00 4AC00,,,,,7,,
 6GT28 10 2HG80,,,,,7,,
 6GT28 98 0CB00,,,,,3,,
 6NH97 20 3AA00,,,,,1,,
 6P.22.8.120.1020,,,,,6,,
 6P.22.8.320.1020,,,,,1,,
 6P.37.9.024.1002,,,,,4,,
 6RY1 707 0CM06,,,,,1,,
 6RY1 803 0AA000AA1,,,,,4,,
 6SE6 400 0BE000AA1,,,,,2,,
 6SE6 400 0PM000AA0,,,,,5,,
 6SE6 400 3TC075ED0,,,,,2,,
 6SE6 400 3TC145FD0,,,,,1,,
 6SL30 00 0CE150AA0,,,,,1,,
 6SL30 00 0CE236AA0,,,,,1,,
 6SL30 40 0JA010AA0,,,,,1,,
 6SL30 40 0PA000AA1,,,,,1,,
 6SL30 40 1GA001AA0,,,,,4,,
 6SL30 40 1GA011AA0,,,,,1,,
 6SL30 40 1LA010AA0,,,,,21,,
 6SL30 40 1MA010AA0,,,,,1,,
 6SL30 54 0CG011AA0,,,,,6,,
 6SL30 54 0EE011BA0,,,,,1,,
 6SL30 54 4AG002AA0,,,,,2,,
 6SL30 54 4EE000AA0,,,,,2,,
 6SL30 55 0AA003AA1,,,,,1,,
 6SL30 55 0AA004BA0,,,,,1,,
 6SL30 55 0AA005BA3,,,,,4,,
 6SL30 55 0AA005CA2,,,,,5,,
 6SL30 55 0AA006AA0,,,,,1,,
 6SL30 55 0AA006AA1,,,,,2,,
 6SL30 60 4AM000AA0,,,,,2,,
 6SL30 60 4AP000AA0,,,,,4,,
 6SL30 60 4AU000AA0,,,,,7,,
 6SL30 60 4AW000AA0,,,,,5,,
 6SL31 20 1TE224AC0,,,,,2,,
 6SL31 20 2TE218AC0,,,,,1,,
 6SL31 30 6TE236AA3,,,,,1,,
 6SL31 61 1LP000AA0,,,,,3,,
 6SL31 62 1AF000AA1,,,,,2,,
 6SL31 62 1AH000AA0,,,,,10,,
 6SL31 62 1AH010AA0,,,,,4,,
 6SL31 62 2AA010AA0,,,,,1,,
 6SL31 62 2MA000AA0,,,,,1,,
 6SL31 62 2MA000AC0,,,,,6,,
 6SL31 62 2ME010AC0,,,,,2,,
 6SL31 62 2ME020AC0,,,,,1,,
 6SL32 03 0CD214AA0,,,,,1,,
 6SL32 03 0CE210AA0,,,,,5,,
 6SL32 03 0CE218AA0,,,,,5,,
 6SL32 03 0CE238AA0,,,,,1,,
 6SL32 03 0CJ286AA0,,,,,1,,
 6SL32 10 1KE123UF2,,,,,13,,
 6SL32 10 1KE132UF2,,,,,14,,
 6SL32 10 1KE132UP1,,,,,1,,
 6SL32 10 1KE143AF2,,,,,3,,
 6SL32 10 1KE158UF2,,,,,3,,
 6SL32 10 1KE175AF1,,,,,1,,
 6SL32 10 1KE188AF1,,,,,3,,
 6SL32 10 1KE226AF1,,,,,1,,
 6SL32 10 1KE232UB1,,,,,1,,
 6SL32 10 1KE270UF1,,,,,6,,
 6SL32 10 1NE260UL0,,,,,6,,
 6SL32 10 1NE288UL0,,,,,1,,
 6SL32 10 1PC228UL0,,,,,2,,
 6SL32 10 1PE118AL1,,,,,2,,
 6SL32 10 1PE118UL1,,,,,5,,
 6SL32 10 1PE132UL1,,,,,1,,
 6SL32 10 1PE143UL1,,,,,1,,
 6SL32 10 1PE180UL1,,,,,6,,
 6SL32 10 1PE211UL0,,,,,1,,
 6SL32 10 1PE214AL0,,,,,1,,
 6SL32 10 1PE214UL0,,,,,9,,
 6SL32 10 1PE218AL0,,,,,1,,
 6SL32 10 1PE227UL0,,,,,1,,
 6SL32 10 1PE245UL0,,,,,25,,
 6SL32 10 1PE275UL0,,,,,1,,
 6SL32 10 1PE318AL0,,,,,1,,
 6SL32 10 1SE210UA0,,,,,1,,
 6SL32 10 5BB230UV0,,,,,3,,
 6SL32 10 5BE230UV0,,,,,2,,
 6SL32 10 5DE135UA0,,,,,1,,
 6SL32 10 5DE210UA0,,,,,1,,
 6SL32 10 5DE214UA0,,,,,2,,
 6SL32 10 5DE218UA0,,,,,1,,
 6SL32 10 5FB101UF2,,,,,1,,
 6SL32 10 5FB102UF2,,,,,1,,
 6SL32 10 5FB104UF1,,,,,1,,
 6SL32 10 5FE150UA0,,,,,2,,
 6SL32 20 2YD140UB0,,,,,2,,
 6SL32 20 2YD220UB0,,,,,3,,
 6SL32 20 2YD240UB0,,,,,2,,
 6SL32 20 2YD260UB0,,,,,2,,
 6SL32 20 2YD280UB0,,,,,2,,
 6SL32 20 2YD300UB0,,,,,3,,
 6SL32 20 2YD320UB0,,,,,8,,
 6SL32 20 2YD340UB0,,,,,3,,
 6SL32 20 2YD380UB0,,,,,1,,
 6SL32 20 2YD480UB0,,,,,3,,
 6SL32 20 2YD500CB0,,,,,2,,
 6SL32 20 2YE280UF0,,,,,1,,
 6SL32 20 2YE400UB0,,,,,3,,
 6SL32 24 0BE311UA0,,,,,2,,
 6SL32 43 0BB301FA0,,,,,9,,
 6SL32 44 0BB121BA1,,,,,9,,
 6SL32 44 0BB121FA0,,,,,17,,
 6SL32 46 0BA221BA0,,,,,3,,
 6SL32 46 0BA221PA0,,,,,1,,
 6SL32 52 0BB000AA0,,,,,1,,
 6SL32 55 0AA004BA1,,,,,2,,
 6SL32 55 0AA004CA1,,,,,21,,
 6SL32 55 0AA004JA1,,,,,1,,
 6SL32 55 0AA004JA2,,,,,3,,
 6SL32 55 0AA005AA0,,,,,1,,
 6SL32 56 0AP000JA0,,,,,66,,
 6SL32 64 1EA000FA0,,,,,1,,
 6SL32 64 1EA000HB0,,,,,7,,
 6SN11 61 1AA010BA0,,,,,2,,
 6SN11 61 1CA000BA1,,,,,1,,
 6XV1 830 0EH10,,,,,"5,469.00",,
 6XV1 830 0LH10,,,,,290,,
 6XV1 830 3GH10,,,,,200,,
 6XV1 840 2AH10,,,,,"2,153.00",,
 6XV1 850 0AH10,,,,,172,,
 6XV1 870 2B,,,,,35,,
 6XV1 870 2J,,,,,20,,
 6XV1 870 3QH10,,,,,2,,
 6XV1 870 3QH20,,,,,1,,
 6XV1 870 3QH60,,,,,2,,
 6XV1 870 3RH60,,,,,1,,
 6XV1 871 5BH10,,,,,40,,
 6XV1 871 5BH20,,,,,24,,
 6XV1 871 5BH30,,,,,11,,
 6XV1 871 5BH50,,,,,5,,
 6XV1 878 2A,,,,,60,,
 700-HN123,,,,,13,,
 700-HPS2Z24,,,,,12,,
 700S-CF620EJC,,,,,1,,
 72009 25A,,,,,7,,
 7KM21 12 0BA003AA0,,,,,1,,
 7KM32 20 0BA011DA0,,,,,10,,
 7KM93 00 0AB010AA0,,,,,4,,
 7KM93 00 0AE010AA0,,,,,1,,
 7KT0310,,,,,1,,
 7LF53 050,,,,,4,,
 7ME35 70 1HA300DB0,,,,,1,,
 7ML19 30 1BP,,,,,1,,
 7ML54310BA200HA1-Z,,,,,1,,
 7ML57 41 2AA000,,,,,3,,
 7RQ0 100 0AC00,,,,,15,,
 7RQ0 100 0AP10,,,,,69,,
 7RQ0 100 0BC00,,,,,6,,
 7RQ0 100 0BP10,,,,,17,,
 7RQ0 100 0CP00,,,,,11,,
 7RQ0 201 1AX00,,,,,120,,
 7RQ0 201 1BX00,,,,,24,,
 7S.12.9.024.5110,,,,,2,,
 7S.32.9.024.5110,,,,,9,,
 7UG0 842 1CD20,,,,,19,,
 7UG0 861 1BU20,,,,,4,,
 7UG0 885 1JU20,,,,,2,,
 7UG0 985 0YY00,,,,,2,,
 7UG0 994,,,,,8,,
 7UG0 996,,,,,5,,
 7UG0 999,,,,,16,,
 8.5868.1231.3112,,,,,1,,
 8000-100/000-1310,,,,,29,,
 800SD-2-230,,,,,1,,
 800XA,,,,,1,,
 859-304,,,,,32,,
 859-410,,,,,224,,
 870-410,,,,,18,,
 889D-F4AC-5,,,,,1,,
 889D-F4ACDM-1,,,,,5,,
 889D-F8AB-5,,,,,1,,
 898D-418U-DM,,,,,1,,
 898D-438Y-D8,,,,,2,,
 8GB0 508,,,,,1,,
 8GB1 362 1RC,,,,,14,,
 8GB9 901,,,,,87,,
 8UC60 70 1YQA,,,,,6,,
 8UC626,,,,,4,,
 8UC63,,,,,5,,
 8UC63 14 1BB00,,,,,3,,
 8UC64,,,,,4,,
 8UC68,,,,,4,,
 8US12 51 5DM07,,,,,8,,
 8US12 51 5NT10,,,,,6,,
 8WA10 11 1BF23,,,,,141,,
 8WA10 11 1PF11,,,,,38,,
 8WA18 08,,,,,49,,
 8WA18 53,,,,,19,,
 8WA18 60,,,,,12,,
 8WA28 68,,,,,2,,
 8WD44 08 0AA,,,,,1,,
 8WD44 08 0AD,,,,,1,,
 8WN22 24 6JJ00,,,,,3,,
 8WN44 08 0CC00,,,,,1,,
 8WN44 08 0CF00,,,,,11,,
 8WN44 08 0DH00,,,,,1,,
 8WN44 20 0HA00,,,,,11,,
 8WN44 20 5AF00,,,,,5,,
 9000-41034-0401000,,,,,1,,
 92.03 SMA,,,,,4,,
 93.01.0.240,,,,,20,,
 93.02.7.024,,,,,1,,
93.16,,,,,237,,
 93.61.7.024,,,,,350,,
 94.84.2SMA,,,,,29,,
 95.85.3,,,,,14,,
 95.85.3-SPA,,,,,42,,
 97.01SPA,,,,,4,,
 9841-0601000,,,,,5,,
 99.80.9.024.99,,,,,34,,
 A1D1,,,,,4,,
 A1D1(CSA),,,,,3,,
 A1D1-X,,,,,1,,
 A1DA,,,,,1,,
 A1G0426C,,,,,2,,
 A611638,,,,,172,,
 A7PS-206-1,,,,,3,,
 A9N16201,,,,,1,,
 A9N16202,,,,,2,,
 A9N16203,,,,,1,,
 A9N18376,,,,,6,,
 A9N19686,,,,,4,,
 A9N1P02C,,,,,28,,
 A9N1P04C,,,,,10,,
 A9N1P06C,,,,,6,,
 A9N1P10C,,,,,5,,
 A9N1P16C,,,,,23,,
 A9N1P20C,,,,,4,,
 A9N1P25C,,,,,1,,
 A9N1P32C,,,,,3,,
 A9N26596,,,,,1,,
 A9N26923,,,,,13,,
 A9N26924,,,,,42,,
 A9N26929,,,,,8,,
 A9N26946,,,,,1,,
 A9N26948,,,,,2,,
 A9N2P02C,,,,,12,,
 A9N2P04C,,,,,7,,
 A9N2P06C,,,,,13,,
 A9N2P10C,,,,,13,,
 A9N2P16C,,,,,7,,
 A9N2P25C,,,,,1,,
 A9N2P32C,,,,,4,,
 A9N2P40C,,,,,1,,
 A9N2P63C,,,,,11,,
 A9N3P02C,,,,,4,,
 A9N3P04C,,,,,4,,
 A9N3P32C,,,,,1,,
 A9N4P25C,,,,,1,,
 A9N4P63C,,,,,3,,
 A9XMFA04,,,,,1,,
 ABL6TS100B,,,,,1,,
 ABL6TS160G,,,,,2,,
 ACC-24I,,,,,1,,
 ACC-MC,,,,,1,,
 ACS-BP-S,,,,,4,,
 ACS-BRK-D BRAKE UN,,,,,1,,
 ACS-CP-C,,,,,3,,
 ACS355-03-E02A4-4,,,,,1,,
 ACS355-03E-02A4-4,,,,,1,,
 ACS355-03E-031A-4,,,,,1,,
 ACS560-01-046A-4,,,,,1,,
 AE 1033 500,,,,,2,,
 AE 1060 500,,,,,1,,
 AE 1073 500,,,,,1,,
 AE 1077 500,,,,,1,,
 AE 1090 500,,,,,3,,
 AE 1114 500,,,,,1,,
 AE 1180 500,,,,,6,,
 AE 1213 500,,,,,1,,
 AE 1260 500,,,,,1,,
 AE 1350 500,,,,,3,,
 AE 1360 500,,,,,2,,
 AE 1380 500,,,,,15,,
 AE 2383 210,,,,,43,,
 AE 2383 250,,,,,2,,
 AE 2383 300,,,,,4,,
 AE 9790 909,,,,,1,,
 AE-08-024D-1-B-C,,,,,1,,
 AF D1 10MMD2 X,,,,,5,,
 AGC 200,,,,,1,,
 AHR 800 B420,,,,,2,,
 ALV-D2 415VAC,,,,,2,,
 APS-8501-3IDL2,,,,,10,,
 AR22VGE-02R,,,,,1,,
 AR30FOR-10B,,,,,3,,
 AR30FOR-10G,,,,,3,,
 AR30FOR-10R,,,,,4,,
 AR30G2L-11E3G,,,,,1,,
 AR30PR-311B,,,,,4,,
 AS 4053 500,,,,,2,,
 AS331-1,,,,,1,,
 AS331-230VAC,,,,,3,,
 B1DH-Q,,,,,2,,
 B91067210,,,,,6,,
 BAGU12QA006BK,,,,,600,,
 BB10020C,,,,,1,,
 BB30160C,,,,,2,,
 BCA02POO6K144,,,,,4,,
 BCLL11,,,,,4,,
 BKT-7K-02,,,,,2,,
 BL20-SWIRE-CAB-008,,,,,15,,
 BL20-SWIRE-CAB-050,,,,,10,,
 BL20-SWIRE-CAB-200,,,,,1,,
 BL20-SWIRE-PF,,,,,4,,
 BNS-819D04D1210010,,,,,2,,
 BNS-819D06D1210010,,,,,1,,
 BPA 110,,,,,4,,
 BPH17/25-KHAKHI,,,,,316,,
 BPN70-GREY,,,,,228,,
 BXT BAS,,,,,15,,
 BXT ML2 B 180,,,,,15,,
 C10G1,,,,,2,,
 C10G10,,,,,3,,
 C14G40,,,,,3,,
 C60H2P04AC,,,,,3,,
 CA-702,,,,,"2,289.00",,
 CA-741/10,,,,,6,,
 CA-742/4,,,,,60,,
 CA102,,,,,2,,
 CA103,,,,,60,,
 CA2-KN22F7,,,,,1,,
 CA2-KN22M7,,,,,9,,
 CA3-KN22BD,,,,,1,,
 CA721/10,,,,,263,,
 CA722,,,,,28,,
 CA722/10,,,,,139,,
 CA722/4,,,,,94,,
 CA723/10,,,,,26,,
 CA723/4,,,,,29,,
 CA724/10,,,,,23,,
 CA724/4,,,,,24,,
 CA725/4,,,,,4,,
 CA751/10,,,,,10,,
 CA802,,,,,39,,
 CAD32BD,,,,,21,,
 CAE22B5,,,,,6,,
 CAE22F5,,,,,13,,
 CAE22M5,,,,,5,,
 CAE22N5,,,,,1,,
 CAE31B5,,,,,5,,
 CAL5-11,,,,,2,,
 CAT5-DCECASTP4P3XL,,,,,15,,
 CBB120,,,,,15,,
 CBB35/50,,,,,12,,
 CBB35/50BK,,,,,2,,
 CBB35/50BU,,,,,2,,
 CBB35/50R,,,,,2,,
 CBB35/50Y,,,,,1,,
 CBB70,,,,,7,,
 CBDT4U,,,,,4,,
 CBT M6,,,,,48,,
 CBT100-BLACK,,,,,8,,
 CBT100-BLUE,,,,,46,,
 CBT100-RED,,,,,44,,
 CBT100-YELLOW,,,,,46,,
 CBT110-BLACK,,,,,53,,
 CBT110-BLUE,,,,,3,,
 CBT110-KHAKHI,,,,,104,,
 CBT110-RED,,,,,2,,
 CBT110-YELLOW,,,,,1,,
 CBT170-KHAKHI,,,,,92,,
 CBT250-KHAKHI,,,,,79,,
 CBT300-KHAKHI,,,,,50,,
 CBW04,,,,,12,,
 CCB-84901-0101-02,,,,,1,,
 CCB-84901-0102-05,,,,,1,,
 CCB-84901-0902-05,,,,,2,,
 CCB-84901-1003-05,,,,,1,,
 CCB-84901-1005-15,,,,,2,,
 CCB-84901-2001-02,,,,,2,,
 CCB-84901-2001-10,,,,,1,,
 CCB-84901-2002-05,,,,,1,,
 CCB-M12LTF-01,,,,,1,,
 CCB-M12LTF-05,,,,,6,,
 CCB-M12X12FS-05,,,,,1,,
 CCB-M12XDB9Y-05,,,,,1,,
 CCB-M8DSIO-02,,,,,2,,
 CCB-M8IO-05,,,,,1,,
 CCB-M8X4-05,,,,,1,,
 CCB-PWRIO-05R,,,,,2,,
 CCB-PWRIO-10,,,,,4,,
 CCB-PWRIO-MOD-05,,,,,1,,
 CCLA10,,,,,1,,
 CCLA16-10WAY,,,,,14,,
 CCLA2.5-10WAY,,,,,8,,
 CCLM2.5K,,,,,197,,
 CCLM2.5K-10WAY,,,,,200,,
 CDINS6,,,,,8,,
 CDINSUK,,,,,2,,
 CDL-4U,,,,,25,,
 CDL-4UN GREY,,,,,485,,
 CDL4UN,,,,,"2,294.00",,
 CE-08-024D-1-B-C,,,,,254,,
 CE-08-024D-2-B-C,,,,,22,,
 CE-08-230A-1-B,,,,,21,,
 CE-16-024D-2-B-C,,,,,1,,
 CE6651,,,,,1,,
 CENC-4 GREEN,,,,,104,,
 CENC-4 GREY,,,,,728,,
 CF4U,,,,,29,,
 CF4UL110-240V,,,,,6,,
 CF4UL6-60V,,,,,432,,
 CF4UL6-60VBK,,,,,44,,
 CF4UL6-60VBU,,,,,87,,
 CF4UL6-60VYE,,,,,76,,
 CGT-10N,,,,,99,,
 CGT-16N,,,,,52,,
 CGT-35U,,,,,84,,
 CGT-35U Y/G,,,,,36,,
 CGT-4N,,,,,237,,
 CGT-6N,,,,,15,,
 CH14-3B-3,,,,,1,,
 CH223DU,,,,,8,,
 CHCC2D,,,,,8,,
 CIMR-AD4A0004FMA,,,,,1,,
 CIMR-AD4A0018FMA,,,,,2,,
 CIO-1400,,,,,2,,
 CIO-MICRO,,,,,3,,
 CKR-200-BKT,,,,,1,,
 CKR-200-CBL-EXT,,,,,2,,
 CKR-4G-CBL-001,,,,,2,,
 CKT4U,,,,,159,,
 CLRO-K5050G1,,,,,1,,
 CM99801OOOO,,,,,1,,
 CMDB4/4,,,,,27,,
 CMDB4/4BK,,,,,8,,
 CMDB4/4R,,,,,4,,
 CNC SYSTEM-828D,,,,,3,,
 CNC-SYS-PPU161-SL,,,,,2,,
 CP 6206 050,,,,,2,,
 CP 6206 380,,,,,2,,
 CP 6212 120,,,,,1,,
 CP 6212 150,,,,,1,,
 CP 6212 820,,,,,1,,
 CP 6320 300,,,,,1,,
 CP 6320 350,,,,,2,,
 CP30-BA1P-1M5A,,,,,2,,
 CP30FM2P010,,,,,1,,
 CPS-24V-POE4,,,,,2,,
 CR-LTLC-230A,,,,,5,,
 CS94019BOOO,,,,,1,,
 CS94020BOOO,,,,,9,,
 CS94111KOOO,,,,,3,,
 CS94117,,,,,3,,
 CS94118,,,,,3,,
 CS94120OOOO,,,,,20,,
 CS94121OOOO,,,,,10,,
 CSB5/N5U,,,,,20,,
 CSCS160DM4CO,,,,,1,,
 CSFL-4U (L),,,,,67,,
 CSFL-4U(L)-220 GRY,,,,,66,,
 CSR-SV-01,,,,,2,,
 CSR1S-24DYB,,,,,74,,
 CST10-BLUE,,,,,3,,
 CST10-YELLOW,,,,,4,,
 CST2.5-KHAKHI,,,,,109,,
 CST6-BLUE,,,,,6,,
 CST6-YELLOW,,,,,1,,
 CSTSB3,,,,,15,,
 CSTSEP2,,,,,15,,
 CSTSN4UBK,,,,,37,,
 CSTSN4UBU,,,,,35,,
 CSTSN4UY,,,,,36,,
 CSTSN5U,,,,,291,,
 CSTSN5UBK,,,,,46,,
 CSTSN5UBU,,,,,41,,
 CSTSN5UGN,,,,,1,,
 CSTSN5UR,,,,,35,,
 CSTSN5UY,,,,,41,,
 CSTSN6BU,,,,,1,,
 CSTSN6U,,,,,59,,
 CSTSN6Y,,,,,2,,
 CSTSPP,,,,,20,,
 CTS 40,,,,,3,,
 CTS-10 BLUE,,,,,12,,
 CTS-10 RED,,,,,39,,
 CTS-10 YELLOW,,,,,16,,
 CTS-10U BLACK,,,,,1,,
 CTS-10U GREY,,,,,446,,
 CTS-10U RED,,,,,18,,
 CTS-16 BLUE,,,,,4,,
 CTS-16 RED,,,,,5,,
 CTS-16 YELLOW,,,,,20,,
 CTS-16U BLUE,,,,,42,,
